name,category,description,gut_score,confidence_score,aliases,dosage_min,dosage_max,dosage_unit,dosage_frequency,bacteria_1,bacteria_effect_1,bacteria_strength_1,bacteria_mechanism_1,bacteria_2,bacteria_effect_2,bacteria_strength_2,bacteria_mechanism_2,metabolic_effect_1,metabolic_mechanism_1,symptom_effect_1,symptom_direction_1,symptom_notes_1,citation_1_pmid,citation_1_title,citation_1_journal,citation_1_year
Apple cider vinegar,other,Fermented vinegar with acetate and antimicrobial properties,5.0,0.60,ACV;Acetic acid;Fermented apple juice,15000,30000,ml,daily,Akkermansia,promotes_growth,moderate,Provides acetate directly and modulates gut pH,Hungatella,promotes_growth,weak,Anti-inflammatory effects and antimicrobial properties,reduces_inflammation,Provides acetate directly and modulates gut pH with anti-inflammatory effects,bloating,positive,May reduce bloating and support blood sugar control with antimicrobial properties,35059231,Beneficial effect of vinegar consumption,Food Research International,2022
Postbiotics,other,Bioactive compounds from probiotic metabolism with gut barrier benefits,7.0,0.60,Microbial metabolites;Bioactive postbiotics;Paraprobiotics,100,5000,mg,daily,Beneficial bacteria,promotes_growth,moderate,Enhances barrier function through tight junction stimulation,Gut barrier,promotes_growth,strong,Modulates immune response via cytokine regulation,improves_barrier_function,Enhances barrier function through tight junction stimulation and immune modulation,bloating,positive,Reduces IBS symptoms and improves sleep quality with mental health benefits,36184735,Clinical evidence for postbiotics,Gut Microbes,2022
Spore-based probiotics,probiotic,Heat-resistant spore-forming bacteria with excellent survival,7.0,0.70,Bacillus species;Bacillus spores;Spore-forming probiotics,2000000000,5000000000,CFU,daily,Bifidobacterium,promotes_growth,strong,Survives gastric acid and produces bacteriocins and antimicrobial compounds,Akkermansia,promotes_growth,moderate,Increases beneficial bacteria and modulates immune response,increases_scfa,Increases short-chain fatty acid production and reduces inflammatory markers,diarrhea,positive,Reduces diarrhea duration and improves IBS symptoms with enhanced immune function,36771194,Spore-based probiotic for COVID-19,Nutrients,2023
Human milk oligosaccharides,prebiotic,Prebiotic oligosaccharides with selective bifidobacterial growth,8.0,0.80,HMOs;2'-fucosyllactose;LactoNneotetraose,4000,20000,mg,daily,Bifidobacterium,promotes_growth,strong,Selectively feeds Bifidobacterium species with dose-dependent expansion,Anti-inflammatory cytokines,promotes_growth,moderate,Increases anti-inflammatory cytokines and reduces pathogen adhesion,modulates_immune,Modulates immune system development and reduces pathogen adhesion,bloating,positive,Reduces IBS symptom severity and improves bloating with enhanced infection resistance,37630811,Clinical studies on manufactured HMOs,Nutrients,2023
Tributyrin,fatty_acid,Butyric acid precursor with superior gut barrier benefits,7.0,0.70,Glyceryl tributyrate;Butyric acid precursor;Pre-butyrate,300,4000,mg,daily,Lachnospiraceae,promotes_growth,strong,Slowly releases butyric acid in intestines and increases beneficial bacteria,Bifidobacterium,promotes_growth,moderate,Enhances tight junction proteins and reduces pathogenic bacteria,improves_barrier_function,Slowly releases butyric acid and enhances tight junction proteins,diarrhea,positive,Reduces diarrhea and improves IBS-D symptoms with enhanced barrier integrity,37389721,Tributyrin alleviates gut microbiota dysbiosis,PLoS One,2023
Sodium butyrate,fatty_acid,Direct short-chain fatty acid supplementation with barrier benefits,6.0,0.60,Butyric acid sodium salt;Short-chain fatty acid,150,600,mg,daily,Beneficial bacteria,promotes_growth,moderate,Direct short-chain fatty acid supplementation feeds colonocytes,Gut barrier,promotes_growth,strong,Modulates gut microbiota composition and enhances barrier function,improves_barrier_function,Reduces inflammation through HDAC inhibition and improves insulin sensitivity,abdominal_pain,positive,Reduces abdominal pain in IBS and improves Crohn's disease symptoms,Multiple,Clinical trials in IBS and IBD,Various journals,2015-2024
L-theanine,other,Amino acid with gut-brain axis and stress reduction benefits,6.0,0.60,Nethyl-L-glutamine;Theanine,100,400,mg,daily,Lactobacillus,promotes_growth,moderate,Increases Lactobacillus abundance and modulates gut immunity,Clostridium,inhibits_growth,weak,Limited specific gut microbiome research available,reduces_inflammation,Reduces inflammation via TLR4/NF-κB pathway and improves bile acid metabolism,gas,positive,Reduces stress and anxiety while alleviating IBD symptoms,37917744,L-Theanine alleviates heat stress,Food & Function,2023
Melatonin,other,Hormone with circadian rhythm and gut microbiome modulation,6.0,0.60,Nacetyl-5-methoxytryptamine;Pineal hormone,0.5,10,mg,daily,Lactobacillus,promotes_growth,moderate,Increases beneficial bacteria and modulates circadian rhythms,Bifidobacterium,promotes_growth,weak,Limited specific gut microbiome research available,reduces_inflammation,Restores diurnal microbiota patterns and reduces oxidative stress,irregular_bowel,positive,Improves sleep-related gut issues and reduces inflammation,Multiple,Studies on melatonin-microbiome interactions,Various journals,2015-2024
Collagen peptides,other,Hydrolyzed collagen with gut barrier support properties,5.0,0.50,Hydrolyzed collagen;Collagen hydrolysate,2500,20000,mg,daily,Gut barrier,promotes_growth,weak,Provides amino acids for gut barrier proteins,Tight junctions,promotes_growth,moderate,Enhances tight junction proteins and provides building blocks,improves_barrier_function,Improves intestinal barrier function and provides building blocks for gut proteins,bloating,positive,Reduces bloating in healthy women and improves digestive comfort,36198822,Effect of collagen peptide supplement,JMIR Formative Research,2022
Digestive enzymes,other,Multi-enzyme complexes with nutrient absorption and microbiome benefits,6.0,0.70,Pancreatic enzymes;PERT;Multi-enzyme complexes,25000,50000,units,with_meals,Akkermansia muciniphila,promotes_growth,moderate,Increases beneficial bacteria and improves nutrient breakdown,Gut microbiome,modulates_activity,moderate,Modulates microbiota composition and enhances digestive efficiency,reduces_inflammation,Improves fat and protein digestion with enhanced nutrient absorption,bloating,positive,Reduces bloating and gas while improving nutrient absorption,29106956,Supplementation of pancreatic enzymes,Biochemical and Biophysical Research Communications,2018
Milk thistle,herb,Hepatoprotective herb with liver support and gut-liver axis benefits,5.5,0.65,Silybum marianum;Silymarin;Silybin;Mary thistle,200,420,mg,daily,Gut-liver axis,modulates_activity,weak,Limited direct gut microbiome research available,Liver function,promotes_growth,moderate,Supports liver function and detoxification through gut-liver axis,reduces_inflammation,Reduces liver and systemic inflammation with antioxidant protection,bloating,positive,Supports liver health and may improve fat digestion,17548789,Advances in use of milk thistle,Planta Medica,2007
Betaine HCl,other,Stomach acid supplement with limited gut microbiome research,4.0,0.50,Betaine hydrochloride;Stomach acid supplement,300,2000,mg,with_meals,Gut microbiome,modulates_activity,weak,Limited clinical evidence for gut microbiome effects,Stomach acid,promotes_growth,moderate,Supports stomach acid production for protein digestion,reduces_inflammation,Limited clinical evidence for gut benefits,bloating,positive,May improve protein digestion and reduce bloating,Limited,Limited clinical evidence available,Various journals,2015-2024
Ox bile,other,Bile acid supplement with fat digestion support,4.0,0.50,Bile acids;Bile salts,100,500,mg,with_meals,Fat digestion,modulates_activity,moderate,Helps fat digestion and absorption,Gut microbiome,modulates_activity,weak,Limited microbiome research available,reduces_inflammation,Helps fat digestion and absorption,bloating,positive,May reduce bloating from fat maldigestion,Limited,Limited clinical evidence available,Various journals,2015-2024
Artichoke extract,herb,Prebiotic vegetable extract with limited clinical evidence,5.0,0.60,Cynara scolymus;Artichoke leaf extract,300,600,mg,daily,Beneficial bacteria,promotes_growth,weak,Some prebiotic properties with limited evidence,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,reduces_inflammation,Some prebiotic properties with limited clinical evidence,bloating,positive,Traditional digestive support with limited evidence,Limited,Limited clinical evidence available,Various journals,2015-2024
Dandelion root,herb,Traditional digestive herb with prebiotic potential,5.0,0.55,Taraxacum officinale;Dandelion root,2000,8000,mg,daily,Beneficial bacteria,promotes_growth,weak,Prebiotic potential with limited clinical data,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,reduces_inflammation,Prebiotic potential with limited clinical evidence,bloating,positive,Traditional digestive support with limited evidence,Limited,Limited clinical evidence available,Various journals,2015-2024
Activated charcoal,other,Absorbent compound with limited gut benefits and safety concerns,3.0,0.40,Activated carbon;Charcoal powder,1000,3000,mg,as_needed,Gut microbiome,modulates_activity,weak,Limited evidence with potential for nutrient binding,Toxins,inhibits_growth,weak,May absorb toxins but also nutrients,reduces_endotoxins,Limited evidence with potential for nutrient binding concerns,bloating,positive,May reduce gas and bloating but concerns about nutrient absorption,Limited,Limited clinical evidence available,Various journals,2015-2024
Bentonite clay,other,Absorbent clay with limited evidence and safety concerns,3.0,0.35,Montmorillonite clay;Bentonite clay,1000,2000,mg,as_needed,Gut microbiome,modulates_activity,weak,Limited evidence with safety concerns,Toxins,inhibits_growth,weak,May absorb toxins but safety concerns exist,reduces_endotoxins,Limited evidence with safety concerns,bloating,positive,May reduce digestive discomfort but safety concerns limit use,Limited,Limited clinical evidence available,Various journals,2015-2024
Chlorella,other,Green algae with some microbiome benefits but limited evidence,5.0,0.55,Chlorella vulgaris;Green algae,2000,10000,mg,daily,Beneficial bacteria,promotes_growth,weak,Some microbiome benefits with limited clinical evidence,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,reduces_inflammation,Some microbiome benefits with limited clinical evidence,bloating,positive,May support digestive health with limited evidence,Limited,Limited clinical evidence available,Various journals,2015-2024
Spirulina,other,Blue-green algae with prebiotic properties but limited evidence,5.0,0.55,Arthrospira platensis;Blue-green algae,1000,8000,mg,daily,Beneficial bacteria,promotes_growth,weak,Prebiotic properties with limited gut-specific research,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,reduces_inflammation,Prebiotic properties with limited clinical evidence,bloating,positive,May support digestive health with limited evidence,Limited,Limited clinical evidence available,Various journals,2015-2024
Apple pectin,fiber,Soluble fiber from apples with moderate SCFA production,6.0,0.65,Apple fiber;Pectin from apples,5000,20000,mg,daily,Lachnospira,promotes_growth,moderate,Moderate fermentation with selective bacterial stimulation,Bacteroides,promotes_growth,weak,Limited specific gut microbiome research available,increases_scfa,Moderate SCFA production with limited clinical evidence,irregular_bowel,positive,May improve gut health with moderate fiber benefits,Limited,Limited clinical evidence available,Various journals,2015-2024
Guar gum,fiber,Soluble fiber with stool-forming properties and moderate evidence,6.0,0.65,Cyamopsis tetragonoloba;Guar bean fiber,5000,15000,mg,daily,Beneficial bacteria,promotes_growth,moderate,Fiber benefits with moderate bacterial stimulation,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,increases_scfa,Fiber benefits with moderate SCFA production,constipation,positive,May improve stool consistency with moderate fiber benefits,Limited,Some clinical evidence for fiber benefits,Various journals,2015-2024
Thyme,herb,Antimicrobial herb with limited gut microbiome research,5.5,0.60,Thymus vulgaris;Thyme oil;Thymol;Garden thyme,100,300,mg,daily,Pathogenic bacteria,inhibits_growth,weak,Similar to oregano with limited specific research,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,reduces_inflammation,Antimicrobial properties with limited clinical evidence,gas,positive,Traditional digestive support with limited evidence,32512899,Thymus vulgaris essential oil effects,Molecules,2020
Rosemary,herb,Antioxidant herb with limited gut microbiome research,5.0,0.55,Rosmarinus officinalis;Rosemary extract;Rosmarinic acid,200,400,mg,daily,Beneficial bacteria,promotes_growth,weak,Limited specific gut microbiome research available,Gut microbiome,modulates_activity,weak,Part of beneficial spice combinations with limited evidence,reduces_inflammation,Antioxidant properties with limited clinical evidence,bloating,positive,Traditional digestive support with limited evidence,Limited,Limited clinical evidence available,Various journals,2015-2024
Black pepper,herb,Bioavailability enhancer with limited direct gut benefits,5.5,0.60,Piper nigrum;Piperine;Bioperine,5,20,mg,daily,Gut microbiome,modulates_activity,weak,Limited direct microbiome research available,Nutrient absorption,promotes_growth,moderate,Enhances bioavailability of other compounds,reduces_inflammation,Enhances bioavailability of other compounds and stimulates digestive enzymes,bloating,positive,Enhances nutrient absorption and supports digestive function,30088420,Effects of turmeric with bioperine,Nutrients,2018
Olive oil,fatty_acid,Healthy fat with polyphenols and limited gut microbiome research,5.0,0.50,Extra virgin olive oil;EVOO,15000,30000,ml,daily,Beneficial bacteria,promotes_growth,weak,Limited specific gut microbiome research available,Gut barrier,promotes_growth,weak,Provides polyphenols and supports gut barrier function,reduces_inflammation,Provides polyphenols and supports gut barrier function,bloating,positive,Anti-inflammatory effects with limited gut-specific evidence,Limited,Limited specific gut microbiome research available,Various journals,2015-2024
Resveratrol,polyphenol,Antioxidant compound with emerging gut microbiome benefits,6.5,0.65,Trans-resveratrol;Resveratrol supplement,100,500,mg,daily,Akkermansia,promotes_growth,moderate,Emerging research shows beneficial bacteria promotion,Lactobacillus,promotes_growth,weak,Limited specific gut microbiome research available,reduces_inflammation,Antioxidant properties with emerging gut microbiome benefits,bloating,positive,May support gut health through antioxidant properties,Limited,Emerging research on gut microbiome benefits,Various journals,2018-2024
Polyphenols,polyphenol,Diverse plant compounds with microbiome modulation benefits,7.0,0.70,Plant polyphenols;Flavonoids;Phenolic compounds,500,2000,mg,daily,Akkermansia,promotes_growth,moderate,Diverse plant compounds modulate microbiome composition,Bifidobacterium,promotes_growth,weak,Limited specific research on mixed polyphenols,reduces_inflammation,Diverse plant compounds modulate microbiome composition with anti-inflammatory effects,bloating,positive,May support gut health through diverse microbiome modulation,Limited,Research on individual polyphenols more extensive,Various journals,2015-2024
Anthocyanins,polyphenol,Berry-derived compounds with antioxidant and gut benefits,6.5,0.65,Berry anthocyanins;Cyanidin;Delphinidin,100,600,mg,daily,Beneficial bacteria,promotes_growth,moderate,Berry compounds promote beneficial bacteria growth,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,reduces_inflammation,Berry compounds provide antioxidant and anti-inflammatory effects,bloating,positive,May support gut health through antioxidant properties,Limited,Limited specific gut microbiome research available,Various journals,2015-2024
Selenium,mineral,Trace mineral with antioxidant and immune support properties,6.0,0.65,Selenium methionine;Sodium selenite,50,200,mcg,daily,Gut microbiome,modulates_activity,weak,Limited specific gut microbiome research available,Immune cells,promotes_growth,moderate,Antioxidant properties support immune function,modulates_immune,Antioxidant properties support immune function and reduce inflammation,irregular_bowel,positive,May support gut health through antioxidant and immune properties,Limited,Limited specific gut microbiome research available,Various journals,2015-2024
Iron,mineral,Essential mineral with mixed gut microbiome effects,5.5,0.60,Ferrous sulfate;Iron bisglycinate;Heme iron,8,45,mg,daily,Pathogenic bacteria,promotes_growth,weak,Iron supplementation may promote pathogenic bacteria,Beneficial bacteria,inhibits_growth,weak,May negatively affect beneficial bacteria in some cases,modulates_immune,Essential for immune function but may promote pathogenic bacteria,constipation,negative,Iron supplementation commonly causes constipation and may promote pathogenic bacteria,Limited,Mixed evidence on gut microbiome effects,Various journals,2015-2024
Folate,vitamin,B vitamin with limited direct gut microbiome research,5.5,0.60,Folic acid;5-methyltetrahydrofolate;Folate supplement,400,1000,mcg,daily,Gut microbiome,modulates_activity,weak,Limited direct gut microbiome research available,Immune cells,promotes_growth,weak,Important for immune cell function,modulates_immune,Important for immune cell function and cellular metabolism,irregular_bowel,positive,May support gut health through immune and cellular support,Limited,Limited direct gut microbiome research available,Various journals,2015-2024
Vitamin B12,vitamin,B vitamin with limited direct gut microbiome research,6.0,0.65,Cobalamin;Methylcobalamin;Cyanocobalamin,2.4,1000,mcg,daily,Gut microbiome,modulates_activity,weak,Limited direct gut microbiome research available,Immune cells,promotes_growth,weak,Important for immune cell function and nerve health,modulates_immune,Important for immune cell function and nerve health,irregular_bowel,positive,May support gut health through immune and nerve support,Limited,Limited direct gut microbiome research available,Various journals,2015-2024
Vitamin C,vitamin,Antioxidant vitamin with immune support and limited gut research,6.0,0.65,Ascorbic acid;Sodium ascorbate;Vitamin C,65,2000,mg,daily,Gut microbiome,modulates_activity,weak,Limited direct gut microbiome research available,Immune cells,promotes_growth,moderate,Important for immune cell function and collagen synthesis,modulates_immune,Important for immune cell function and collagen synthesis,irregular_bowel,positive,May support gut health through immune support and collagen synthesis,Limited,Limited direct gut microbiome research available,Various journals,2015-2024
Short-chain fatty acids,fatty_acid,Beneficial metabolites from bacterial fermentation,7.5,0.80,SCFAs;Acetate;Propionate;Butyrate,300,1000,mg,daily,Beneficial bacteria,promotes_growth,strong,Primary metabolites from beneficial bacterial fermentation,Colonocytes,promotes_growth,strong,Primary energy source for colon cells,increases_scfa,Primary metabolites from beneficial bacterial fermentation provide energy for colon cells,irregular_bowel,positive,Essential for colon health and reduce inflammation,Multiple,Multiple studies on SCFA benefits,Various journals,2015-2024
Medium-chain triglycerides,fatty_acid,Rapidly absorbed fats with antimicrobial properties,6.0,0.65,MCT oil;Caprylic acid;Capric acid,5000,30000,mg,daily,Beneficial bacteria,promotes_growth,weak,Limited specific gut microbiome research available,Pathogenic bacteria,inhibits_growth,moderate,Antimicrobial properties may reduce pathogenic bacteria,reduces_inflammation,Rapidly absorbed fats with antimicrobial properties,bloating,positive,May reduce pathogenic bacteria and support gut barrier function,Limited,Limited specific gut microbiome research available,Various journals,2015-2024
Phosphatidylserine,fatty_acid,Phospholipid with cell membrane support and limited gut research,5.0,0.50,PS;Phosphatidylserine supplement,100,800,mg,daily,Gut microbiome,modulates_activity,weak,Limited direct gut microbiome research available,Cell membranes,promotes_growth,weak,Important for cell membrane function,modulates_immune,Important for cell membrane function and may support gut barrier,irregular_bowel,positive,May support gut health through cell membrane support,Limited,Limited direct gut microbiome research available,Various journals,2015-2024
